A_IDIOMA_NVL,P_PAIS_OTRO_NO_EU,P_PAIS_ESPAÃ‘A,M_TRABAJO_SERVICIOS,M_TRABAJO_NO_TRABAJA,P_ESTUDIOS,FAMILIARES_RESIDENCIA,1ESO_I_1EV,1ESO_I_2EV,1ESO_I_EVF,1ESO_M_1EV,1ESO_MEDIA_1EV,1ESO_MEDIA_EVF,2ESO_EF_1EV,2ESO_I_2EV,REP_1FPB,REC_1EV,REC_2EV,REC_EVEX,PROMOCIONA
1,1,0,1,0,5,4,4,4,5,4,0.5,0.5,5,4,0,2.0,0.0,1.0,0
3,0,1,1,0,2,4,3,4,3,3,0.5,0.5,8,4,1,4.0,4.0,2.0,0
3,1,0,1,0,6,3,4,4,5,4,0.5,0.5,5,4,0,0.0,0.0,1.0,1
2,1,0,0,1,7,5,5,5,5,4,0.5,0.5,5,8,0,2.0,0.0,2.0,1
2,1,0,0,1,2,3,4,4,5,4,0.5,0.5,5,4,0,0.0,0.0,0.0,1
3,1,0,0,0,4,6,4,5,5,5,0.75,0.5,5,3,1,2.0,3.0,5.0,0
3,0,1,1,0,4,5,5,5,5,6,1.0,1.0,6,3,0,0.0,0.0,3.0,1
3,0,1,0,1,4,5,4,4,5,4,0.5,0.5,5,4,0,0.0,0.0,0.0,1
1,1,0,0,1,7,4,3,3,3,1,0.0,0.0,6,5,0,2.0,1.0,2.0,0
2,1,0,0,1,2,5,4,4,5,4,0.5,0.5,5,4,0,0.0,0.0,0.0,1
3,1,0,0,1,4,4,5,4,4,6,0.5,0.5,5,5,0,1.0,0.0,1.0,1
3,1,0,0,1,4,4,5,4,4,6,0.5,0.5,5,5,0,1.0,0.0,1.0,1
2,1,0,0,0,6,4,4,4,6,5,0.75,0.5,7,4,0,2.0,1.0,4.0,0
3,0,1,0,0,5,2,4,4,5,4,0.5,0.5,5,4,0,0.0,2.0,0.0,1
3,0,1,0,1,4,4,3,2,4,3,0.5,1.0,5,2,1,4.0,2.0,6.0,0
3,1,0,1,0,6,2,4,4,5,4,0.5,0.5,5,4,0,1.0,0.0,2.0,0
3,1,0,1,0,3,2,4,4,5,4,0.5,0.5,5,4,0,2.0,1.0,2.0,0
2,0,0,0,0,6,4,5,5,5,4,0.25,0.0,5,3,0,2.0,1.0,6.0,0
3,0,1,1,0,1,5,4,5,6,3,0.5,0.5,5,6,0,1.0,1.0,1.0,1
1,1,0,1,0,1,4,2,2,2,6,0.25,0.0,5,1,1,2.0,1.0,4.0,0
2,1,0,0,1,2,4,4,4,5,4,0.5,0.5,5,5,0,2.0,0.0,1.0,1
3,0,1,0,0,5,6,2,1,2,5,0.75,1.0,3,1,0,0.0,0.0,2.0,1
3,0,1,0,1,4,3,5,5,5,3,0.75,0.5,6,4,1,0.0,0.0,6.0,0
3,0,1,0,1,4,6,7,4,7,3,0.5,1.0,6,5,0,1.0,0.0,2.0,1
3,0,1,1,0,2,4,7,7,7,8,0.75,1.0,4,5,0,0.0,0.0,1.0,1
3,0,1,1,0,4,4,5,4,5,1,0.5,0.0,8,5,0,3.0,2.0,3.0,1
3,0,1,0,0,4,5,7,5,6,6,0.75,0.5,6,6,0,1.0,0.0,0.0,1
3,0,1,0,1,4,4,4,4,5,7,0.5,0.5,7,6,0,1.0,2.0,3.0,1
3,1,0,1,0,6,3,2,3,3,3,0.5,0.0,4,5,1,1.0,1.0,5.0,0
3,0,0,0,1,6,4,4,4,5,4,0.5,0.5,5,4,0,0.0,0.0,0.0,1
3,0,1,0,1,4,4,6,5,5,3,0.75,0.0,3,5,0,2.0,1.0,3.0,1
